name,rating,review_count,price_level,lat,lng
Coffee 8848 (Naxal),4.5,47,2,27.716532,85.329214
Nagpokhari Cafe & Kitchen,4.1,76,2,27.713541,85.324832
Hattisar Garden Cafe,4.2,34,2,27.712512,85.322501
L's Cafe (Gairidhara),4.5,19,2,27.718142,85.327541
Naxal Corner Cafe,4.0,12,1,27.716021,85.326014
Nagpokhari Coffee & More,4.3,28,2,27.713241,85.324217
Hattisar Bites,4.1,52,2,27.711842,85.322841
Gairidhara Junction Cafe,4.2,14,2,27.717841,85.328214
The Brew Naxal,4.6,31,2,27.716842,85.327141
Hattisar Terrace Cafe,4.3,22,2,27.713842,85.323541
Naxal Heritage Cafe,4.1,18,2,27.715241,85.325541
Gairidhara Treats,4.2,9,2,27.717241,85.326841
Karma Coffee @ Naxal,4.5,88,2,27.716500,85.327800
Noyoz (Naxal),4.2,412,2,27.717642,85.328014
The Coffee Lab (Nagpokhari),4.4,15,2,27.713700,85.324400
Heritage Garden Cafe (Hattisar),4.0,210,2,27.712800,85.322000
Bakehouse (Gairidhara),4.1,45,2,27.717300,85.327100
Naxal Beanery,4.3,10,2,27.716900,85.328100
Kamalpokhari Corner Cafe (Border),4.1,4300,1,27.710500,85.323000
Naxal Breakfast Club,4.5,33,2,27.716700,85.329000
Gairidhara Organic Coffee,4.6,7,2,27.717900,85.326900
Bodhi Bistro (Tangal),4.2,893,2,27.716358,85.330494
Camp IV Cafe and Bar (Bishalnagar),5.0,3,2,27.720038,85.333885
KANPAI RESTRO CAFE,4.8,8,2,27.712278,85.326274
Cafe Center Point & Tandoori House,3.9,298,2,27.712161,85.329877
Yuyansa Pork Station,5.0,11,2,27.712792,85.326630
Adda Restaurant and Bar,4.6,21,2,27.719656,85.328468
Gossip Cafe & Bar (Hattisar),3.8,291,2,27.713265,85.322389
Alice Receptions (Bistro Area),4.1,2100,2,27.720100,85.328500
KTM Coffee Hub (Naxal),4.4,12,2,27.716700,85.327000
FiLLi Cafe (Lazimpat/Border),4.7,717,2,27.721081,85.320144
Calm Restaurant & Bar (Tangal),4.2,1524,2,27.717147,85.331193
Copacabana Kathmandu,4.3,178,2,27.717272,85.326017
King's Coffee (Kamal Pokhari Border),4.6,36,2,27.709941,85.326731
Cafe Racer (Naxal),1.0,1,2,27.714488,85.328658
Fresh Bites Cafe (Dilli Bazaar/Border),4.5,97,2,27.709252,85.324939
Deli Akuj,4.0,589,3,27.720833,85.327899
La Mari KTM - Gairidhara,5.0,3,2,27.720243,85.328213
Cafe Kaffa (Bhagwati Bahal),4.7,6,2,27.712780,85.328625
Neshka Cafe,4.4,38,2,27.715214,85.324392
Coffee Talk Hattisar,4.4,24,2,27.712266,85.321707
Aqua by Karma - Cocktail Bar,4.3,390,2,27.719949,85.327751
Bruberry Coffee Shop,4.4,8,2,27.708740,85.327525
MountainMug Coffee (Hattisar),3.6,10,2,27.711284,85.322280
Red Cherry Coffee (City Centre),4.5,2,2,27.709937,85.326562
Salon de Kathmandu Cafe & Bistro,4.3,625,2,27.721310,85.321008
FiLLi Cafe Lazimpat,4.7,717,2,27.721081,85.320144
Himalayan Java Coffee - Lazimpat,4.3,373,2,27.726773,85.323734
Organic Smoothie Bowl and Cafe,4.5,575,1,27.720509,85.321004
Coffee Escape,4.2,133,2,27.718446,85.317587
Blue Note Coffee,4.0,99,2,27.720455,85.319385
Curilo,4.4,331,2,27.719925,85.317535
EK CUP CHIYA - A Tea Cafe,4.6,28,2,27.723023,85.320217
Ghangri Cafe Lazimpat,4.5,77,2,27.723045,85.321405
Buki Garden Cafe,5.0,5,2,27.721080,85.321351
Kwality Cafe,3.7,150,2,27.726299,85.323284
Lumanati Kitchen,4.1,33,1,27.720651,85.318654
Basiko Balchha,5.0,8,2,27.722346,85.319514
Cafe De Tukche Thakali,4.2,492,2,27.720129,85.318704
Basana Cafe & Bar,3.7,15,2,27.718114,85.319151
TajMahal Food Cafe,4.0,59,2,27.723068,85.321231
Cafe 24 Lounge and Bar,4.9,8,2,27.722652,85.321184
Happy Cafe Upstairs,4.0,1,1,27.719670,85.318434
Soul Cafe Lazimpat,4.3,454,2,27.725914,85.322418
The Coffee Shop (Radisson Hotel),4.4,250,3,27.721464,85.320076
Mike Restaurant and Bar,4.6,186,2,27.719323,85.318696
Brotchen Bakery Cafe,4.2,73,2,27.720469,85.318792
La Mari KTM - Lazimpat,4.6,83,2,27.718992,85.317775
Trisara (Lazimpat Lounge),4.2,2200,3,27.722513,85.320412
Trisara The Baking Factory (Lazimpat),3.5,77,2,27.719814,85.318949
Born & Bread Lazimpat,4.6,19,2,27.720724,85.319337
Queen's Farm Bakery Cafe,5.0,45,2,27.727564,85.321282
Bömboloni Bakery Cafe,4.6,21,2,27.723735,85.315421
Taza Treats Lazimpat,4.0,72,2,27.727689,85.323893
Magar House Lazimpat,4.3,16,2,27.723127,85.322142
Redmud Coffee (Lazimpat),4.1,160,2,27.719717,85.319524
The Diplomat (Hotel Ambassador),4.3,180,3,27.720833,85.321500
Kaffe Codes (Lazimpat),4.8,42,2,27.721500,85.320200
Standard Coffee (Lazimpat),4.5,30,2,27.723800,85.320900
Roadhouse Cafe Lazimpat,4.4,608,2,27.721465,85.319892
Tings Tea Lounge,4.6,218,2,27.724581,85.318534
Cocina Mitho Chha,4.7,584,2,27.724812,85.319205
Mokushe,4.8,114,2,27.719842,85.317531
The Bakery Cafe (Lazimpat branch),3.9,150,2,27.721532,85.320514
Lost Horizon (Hotel Shangri-La),4.4,215,3,27.727541,85.324500
Lobby Lounge (Hotel Shanker),4.4,310,3,27.718812,85.321341
Wunjala Moskva (Garden Cafe),4.3,1150,2,27.723142,85.323512
Coffee Tea & Me,4.3,128,2,27.718541,85.317421
Fuji Bakery & Cafe,4.2,54,2,27.720512,85.319014
The Shisha Lazimpat,4.1,520,2,27.720514,85.319521
Caffeophilia (Lazimpat),4.4,85,2,27.721642,85.320841
Bake & Brew Lazimpat,4.2,315,2,27.722514,85.321532
The British Council Library Cafe,4.0,45,1,27.719542,85.317841
Cafe de Gengre,4.1,28,2,27.720214,85.319241
Genesis Cafe (Panipokhari),4.1,654,2,27.728719,85.325695
Walnut Bistro (Panipokhari Border),4.7,2998,2,27.730640,85.327264
The Baristas Coffee School (Lazimpat),4.9,249,2,27.719590,85.318812
London Cafe (Kapurdhara Border),4.1,195,2,27.719627,85.317294
Cabana By Sky High (Lazimpat),3.8,189,2,27.720549,85.319556
MASA WILD HIMALAYAN BREW (Panipokhari),4.8,97,2,27.730308,85.325050
Warm Up Corner Cafe & Bar (Lazimpat),4.9,11,2,27.725547,85.324102
Blue Lotus Cafe (Lazimpat),4.6,33,2,27.719769,85.317507
Katmandu Coffee (Lazimpat),4.6,69,2,27.719647,85.318908
The Brunch (Panipokhari),3.0,17,2,27.736556,85.324825
Chiya Adda Lazimpat,4.1,642,2,27.721456,85.321142
Himalayan Java Coffee (Panipokhari),4.4,854,2,27.728512,85.325541
The Grub (Lazimpat),4.1,385,2,27.720514,85.319842
Coffee Lab (Lazimpat),4.5,24,2,27.721500,85.320200
Vibe Cafe & Bar,4.3,15,2,27.722841,85.321242
Lazimpat Corner Cafe,4.0,52,2,27.720641,85.321417
Bakeberry (Lazimpat),4.2,48,2,27.719842,85.318541
D'Stupa Cafe,4.1,12,2,27.728014,85.324842
Maikote Cafe,4.4,18,1,27.723142,85.322141
D'Corner Cafe,3.8,9,2,27.721841,85.320842
Hotel Shanker Poolside Cafe,4.2,45,3,27.718542,85.321541
Radisson Terrace Cafe,4.3,35,3,27.721642,85.319541
The Red Mug Cafe,4.0,22,2,27.725841,85.322614
Lazimpat Treats,4.5,5,2,27.720214,85.319014
Panipokhari Heights Cafe,4.2,14,2,27.729541,85.326014
Baked Lazimpat,4.6,128,2,27.720142,85.319532
Coffee Talk (Lazimpat Branch),4.1,45,2,27.719842,85.318214
Lazimpat Coffee Hub,4.2,15,2,27.721542,85.320842
Saraswati Chiya Pasal,4.8,5,1,27.724512,85.321842
The Local Cafe (Lazimpat),4.3,62,2,27.719642,85.318914
Royal Cafe & Fast Food,3.8,24,1,27.718842,85.319542
Ambassador Lobby Cafe,4.4,115,3,27.720833,85.321500
Lazimpat Junction Tea,4.0,8,1,27.722512,85.321417
Panipokhari Coffee Stop,4.1,19,2,27.728512,85.325014
The Beanery Lazimpat,4.3,10,2,27.720214,85.319842
Himalayan Beanz (Lazimpat),4.1,56,2,27.721500,85.320500
Himalayan Java Coffee Maharajgunj,4.4,1245,2,27.735841,85.331542
Coffee Talk Maharajgunj,4.2,312,2,27.734512,85.330841
The Bakery Cafe Maharajgunj,4.0,1850,2,27.736121,85.332514
Redmud Coffee Maharajgunj,4.1,284,2,27.735214,85.331842
Le Sherpa,4.6,1542,3,27.734812,85.330514
Nina's Maharajgunj,4.5,950,2,27.736841,85.333142
Lobby Cafe Maharajgunj,4.3,65,2,27.735412,85.331241
Beans and Burgers Basundhara,4.0,128,2,27.741214,85.334512
Standard Coffee Maharajgunj,4.5,42,2,27.737241,85.332841
Kaffe Codes Maharajgunj,4.7,58,2,27.734914,85.330914
Basundhara Coffee Hub,4.1,34,2,27.742512,85.335142
Coffee Station Maharajgunj,4.3,92,2,27.735642,85.331641
The Workshop Eatery Maharajgunj,4.4,415,2,27.738142,85.333841
Maharajgunj Corner Cafe,4.0,22,1,27.736541,85.332142
Beans of Life Maharajgunj,4.8,115,2,27.735114,85.331417
Achaar Ghar Maharajgunj,4.5,210,2,27.734214,85.330214
D'Corner Cafe Maharajgunj,3.9,15,2,27.735841,85.332512
Everest Coffee Maharajgunj,4.2,56,2,27.736914,85.333514
Basundhara Junction Cafe,4.1,48,2,27.743142,85.335841
Maharajgunj Breakfast Club,4.4,31,2,27.737512,85.334142
Karma Coffee Maharajgunj,4.5,78,2,27.735412,85.331914
Flatland Coffee Maharajgunj,4.7,85,2,27.734641,85.330614
Bakehouse Maharajgunj,4.2,195,2,27.736241,85.332841
Maharajgunj Organic Coffee,4.6,12,2,27.735914,85.332014
The Brew Maharajgunj,4.3,28,2,27.735241,85.331341
The Coffee School Maharajgunj,4.9,185,2,27.733541,85.330142
Gud-du Coffee & Bakery,4.4,52,2,27.738514,85.332914
Royal Cafe Basundhara,3.8,44,1,27.741842,85.334842
Paramount Cafe Maharajgunj,4.0,19,2,27.735214,85.332142
IOM Canteen (Coffee Corner),3.9,210,1,27.735841,85.330214
Beans & Bites Maharajgunj,4.2,37,2,27.736541,85.333842
Maharajgunj Heritage Cafe,4.1,24,2,27.734512,85.331241
Basundhara Treats,4.3,11,2,27.742142,85.335412
Cafe De Paradise Maharajgunj,4.0,150,2,27.736142,85.331841
Chiya Guff Maharajgunj,4.6,88,1,27.733841,85.329842
Walnut Bistro (Maharajgunj Edge),4.7,2998,2,27.730640,85.327264
Hattisar Bites Maharajgunj,4.1,32,2,27.734841,85.331542
Panipokhari Heights Cafe,4.2,14,2,27.729541,85.326014
MASA WILD HIMALAYAN BREW,4.8,97,2,27.730308,85.325050
The Brunch Panipokhari,3.0,17,2,27.736556,85.324825
Coffee Hub Panipokhari,4.4,45,2,27.728512,85.325541
Lazimpat Boundary Cafe,4.1,22,2,27.728014,85.324842
The Beanery Maharajgunj,4.3,10,2,27.735214,85.332514
Teaching Hospital Coffee Stop,3.7,85,1,27.736841,85.330514
Ambassador North Cafe,4.4,115,3,27.734512,85.331542
Basundhara Garden Restaurant,4.2,320,2,27.743541,85.336514
Organic Hub Maharajgunj,4.6,28,2,27.737142,85.332142
Maharajgunj Terrace Coffee,4.3,42,2,27.735841,85.333142
The Brew Stop Basundhara,4.5,19,2,27.741541,85.334142
Sheetal Niwas Side Cafe,4.1,12,2,27.733241,85.330541
Maharajgunj Coffee Connect,4.4,26,2,27.736942,85.332514
Bistro 3 Maharajgunj,4.2,14,2,27.734512,85.331014
Teaching Hospital South Cafe,3.8,42,1,27.732841,85.331242
The Daily Grind Maharajgunj,4.5,55,2,27.735142,85.332841
Basundhara Heights Coffee,4.1,18,2,27.742541,85.334514
Maharajgunj Roasters,4.6,33,2,27.737214,85.333514
Coffee & Crust Maharajgunj,4.3,21,2,27.735814,85.331942
Panipokhari Corner Brew,4.2,38,2,27.728514,85.326214
Basundhara Fusion Cafe,4.0,52,2,27.741214,85.333842
Maharajgunj Heritage Coffee Hub,4.4,12,2,27.734142,85.330841
Elite Coffee Maharajgunj,4.5,41,2,27.736214,85.331241
Hospital Side Tea & Snacks,3.6,150,1,27.735214,85.330142
The Green Bean Maharajgunj,4.7,24,2,27.738142,85.332514
Basundhara Station Coffee,4.2,9,2,27.743142,85.335142
Ambassador North Lobby Cafe,4.4,115,3,27.734512,85.331542
Coffee Time Maharajgunj,4.1,64,2,27.735841,85.333814
The Aroma Maharajgunj,4.3,33,2,27.734214,85.331542
Basundhara Morning Club,4.4,15,2,27.742841,85.336142
The Loft Maharajgunj,4.6,28,2,27.736541,85.332814
Urban Coffee Maharajgunj,4.2,19,2,27.735414,85.331241
The Coffee Bar (Maharajgunj),4.5,88,2,27.737414,85.331842
Maharajgunj Plaza Cafe,4.0,21,1,27.736241,85.330914
Basundhara Junction Bakers,4.2,74,2,27.743241,85.334241
Urban Sip Maharajgunj,4.3,47,2,27.734841,85.331942
Chiya Killa Basundhara,4.4,110,1,27.741842,85.335141
Maharajgunj Garden Tea,4.2,16,2,27.736541,85.333141
Basundhara Resto Lounge,4.1,135,2,27.742141,85.333941
Himalayan Coffee Lounge (Maharajgunj),4.3,62,2,27.735942,85.332842
Panipokhari Quick Coffee,3.9,25,1,27.729141,85.326842
Hospital Gate Tea Point,3.8,205,1,27.736241,85.329841
Maharajgunj Coffee Beans,4.4,31,2,27.737142,85.331542
Bite & Brew Basundhara,4.0,27,2,27.742641,85.334814
Momo & Coffee Maharajgunj,4.1,190,1,27.734814,85.331142
Maharajgunj Terrace Lounge,4.5,89,2,27.735141,85.332141
Cafe Fusion Basundhara,4.2,56,2,27.741542,85.334542
Standard Espresso Maharajgunj,4.4,15,2,27.737414,85.333141
Maharajgunj Breakfast Hub,4.3,24,2,27.736141,85.333641
Elite Bakers Basundhara,4.1,49,2,27.742514,85.335542
Ring Road Coffee Point,3.7,65,1,27.743942,85.336142
The Roast Maharajgunj,4.6,38,2,27.734141,85.331514
Chiya Ghar Maharajgunj,4.3,124,1,27.733514,85.330141
Basundhara Fresh Coffee,4.2,14,2,27.741142,85.334914
Teaching Hospital North Cafe,3.9,45,1,27.737214,85.330514
Maharajgunj Hub Cafe,4.1,22,2,27.736514,85.331242
Bakers Den Maharajgunj,4.4,115,2,27.734842,85.332214
Panipokhari Heights Espresso,4.3,31,2,27.729842,85.326514
Aroma Garden Maharajgunj,4.5,72,2,27.735141,85.332841
Basundhara Corner Chiya,4.0,52,1,27.742841,85.335814
The Daily Cafe Maharajgunj,4.2,18,2,27.736842,85.333214
Maharajgunj Espresso Bar,4.5,29,2,27.737514,85.331814
Hospital Road Bistro,4.1,88,2,27.735914,85.330541
Urban Bakers Maharajgunj,4.3,55,2,27.734614,85.331614
The Coffee Lab Basundhara,4.4,11,2,27.741841,85.334214
Maharajgunj Junction Cafe,4.1,34,2,27.735414,85.332242
Basundhara Heights Bistro,4.2,28,2,27.743214,85.334942
Sweet & Savory Maharajgunj,4.4,41,2,27.736142,85.331514
The HUB Maharajgunj,4.5,132,2,27.734814,85.330842
Coffee Express Basundhara,4.1,45,2,27.742814,85.335142
Teaching Hospital West Gate Cafe,3.8,112,1,27.735842,85.329514
Kanti Children's Hospital Canteen,3.6,89,1,27.738514,85.330214
Australian Embassy Side Cafe,4.4,24,2,27.736241,85.334142
Maharajgunj Specialty Roasters,4.7,38,2,27.737142,85.332514
Basundhara Park Cafe,4.0,56,2,27.743142,85.335841
The Breakfast Club Maharajgunj,4.3,67,2,27.735414,85.331942
Panipokhari Rooftop Coffee,4.5,21,2,27.729141,85.325842
Maharajgunj Junction Tea House,4.2,145,1,27.734142,85.330541
Basundhara Elite Coffee,4.3,31,2,27.741541,85.334214
The Espresso Bar Maharajgunj,4.6,52,2,27.736814,85.332814
Narayan Gopal Chowk Coffee Stop,3.9,78,1,27.738142,85.333142
Green Leaf Cafe Maharajgunj,4.4,49,2,27.735142,85.333514
Basundhara Morning Sip,4.2,12,1,27.742142,85.334914
Medical Hub Cafe Maharajgunj,4.1,34,2,27.735814,85.331214
The Coffee Shack Basundhara,4.3,27,2,27.743541,85.336142
Maharajgunj Plaza Coffee,4.0,55,2,27.736514,85.330942
Ambassador Annex Cafe,4.4,92,3,27.734214,85.331542
Chiya Station Maharajgunj,4.5,108,1,27.733241,85.330142
Basundhara Garden Coffee,4.1,42,2,27.742541,85.335514
The Bean Project Maharajgunj,4.6,15,2,27.737414,85.332141
Maharajgunj Heights Cafe,4.2,28,2,27.735942,85.333942
Teaching Hospital North Brew,3.9,64,1,27.737814,85.330841
Basundhara Food & Coffee Hub,4.0,83,2,27.741214,85.333142
The Roast Panipokhari,4.5,41,2,27.728841,85.326514
Maharajgunj Urban Coffee,4.3,33,2,27.734814,85.331614
Basundhara Ring Road Cafe,3.7,115,1,27.743841,85.336541
Coffee Talk Panipokhari Edge,4.2,56,2,27.729514,85.325514
Maharajgunj Terrace Tea,4.1,19,2,27.736141,85.332841
Basundhara Boutique Cafe,4.4,22,2,27.741841,85.334814
The Daily Brew Maharajgunj,4.3,37,2,27.735214,85.331241
Maharajgunj Corner Bakers,4.2,61,2,27.736514,85.332142
Basundhara Fresh Brew,4.1,16,2,27.742214,85.335214
Elite Coffee Hub Maharajgunj,4.5,29,2,27.737214,85.331514
Maharajgunj Heritage Espresso,4.4,14,2,27.734142,85.330914
Basundhara Junction Coffee Bar,4.2,48,2,27.743142,85.334541
Teaching Hospital East Cafe,3.8,31,1,27.736141,85.331514
Panipokhari Central Coffee,4.3,55,2,27.728514,85.326214
Maharajgunj Morning Hub,4.4,12,2,27.736914,85.333614
Chandol Coffee & Bakery,4.3,62,2,27.733514,85.335142
Teaching Hospital West Brew,3.9,41,1,27.735241,85.328841
Basundhara North Coffee Bar,4.1,23,2,27.744142,85.336841
Maharajgunj Plaza Espresso,4.0,18,2,27.736841,85.331241
The Rooftop Panipokhari,4.4,95,2,27.728142,85.324842
Medical Student Cafe Maharajgunj,4.2,110,1,27.735942,85.330142
Basundhara Bridge Coffee,3.8,45,1,27.743541,85.334142
The Village Cafe Maharajgunj,4.5,210,2,27.734512,85.332514
Chandol Garden Restaurant,4.2,330,2,27.732841,85.334842
Maharajgunj Heritage Brew,4.4,12,2,27.735142,85.331841
Basundhara Ring Road Espresso,4.0,29,2,27.742541,85.336142
Panipokhari Heights Tea & Coffee,4.3,31,2,27.729541,85.326542
Teaching Hospital Gate 2 Cafe,3.7,65,1,27.736541,85.329141
Maharajgunj Morning Sip,4.4,22,2,27.736942,85.333142
Basundhara Elite Tea Hub,4.1,15,1,27.741842,85.334542
The Aroma Panipokhari,4.5,38,2,27.728841,85.325541
Maharajgunj Central Coffee,4.3,47,2,27.735414,85.332142
Basundhara Junction Brew,4.0,52,2,27.743142,85.335441
Hospital Road Coffee Beans,4.2,19,2,27.735814,85.331541
The Daily Grind Basundhara,4.4,31,2,27.742142,85.333842
Chandol Heights Cafe,4.1,12,2,27.734142,85.335841
Maharajgunj Urban Sip,4.3,28,2,27.734814,85.331214
Basundhara Fresh Roast,4.2,14,2,27.741541,85.334942
Panipokhari Corner Bakers,4.4,61,2,27.728514,85.326814
Maharajgunj Terrace Coffee Hub,4.5,41,2,27.737142,85.332841
Teaching Hospital South Brew,3.8,33,1,27.732541,85.331242
Basundhara Morning Brew,4.3,24,2,27.742841,85.335841
Maharajgunj Elite Bakers,4.4,115,2,27.736241,85.331514
Panipokhari Heights Espresso Bar,4.3,21,2,27.729141,85.325241
The Roast Basundhara,4.1,16,2,27.741142,85.334242
Maharajgunj Morning Hub Cafe,4.2,18,2,27.736514,85.333514
Hospital Side Quick Coffee,3.9,45,1,27.735914,85.330841
Chandol Junction Coffee,4.0,34,2,27.733142,85.334142
Maharajgunj Roasters & Bakers,4.6,55,2,27.737414,85.332141
Basundhara Heights Espresso,4.2,28,2,27.743514,85.335142
Maharajgunj Terrace Espresso,4.5,29,2,27.735141,85.331941
Teaching Hospital East Brew,3.8,52,1,27.736141,85.332141
Panipokhari Central Brew Hub,4.4,11,2,27.728514,85.326542
Maharajgunj Morning Connect,4.3,31,2,27.736842,85.332514
Basundhara Corner Bakers,4.1,49,2,27.742514,85.334814
The Daily Hub Maharajgunj,4.4,12,2,27.735842,85.331214
Himalayan Java Coffee Baluwatar,4.5,2145,2,27.722541,85.331542
The Workshop Eatery Baluwatar,4.4,1850,2,27.721841,85.330841
Coffee Tea & Me Baluwatar,4.3,642,2,27.723142,85.332514
Redmud Coffee Baluwatar,4.1,845,2,27.722141,85.331242
Roadhouse Cafe Baluwatar,4.4,1245,2,27.721541,85.330514
The Bakery Cafe Baluwatar,3.9,1542,2,27.720841,85.331842
Kaffe Codes Baluwatar,4.8,112,2,27.722841,85.331914
Standard Coffee Baluwatar,4.5,88,2,27.723542,85.332141
Top of the World Coffee,4.6,342,2,27.724142,85.333541
Bakehouse Baluwatar,4.2,315,2,27.722514,85.331214
Everest Coffee Baluwatar,4.3,56,2,27.723142,85.332841
Karma Coffee Baluwatar,4.5,124,2,27.721841,85.331542
Flatland Coffee Baluwatar,4.7,110,2,27.722241,85.330914
Bishalnagar Corner Cafe,4.1,34,2,27.725142,85.334142
The Brew Baluwatar,4.4,45,2,27.722914,85.332141
Coffee Station Baluwatar,4.3,28,2,27.722541,85.331842
Baluwatar Breakfast Club,4.5,52,2,27.723814,85.333142
Urban Sip Baluwatar,4.2,19,2,27.721541,85.331214
Bishalnagar Garden Cafe,4.3,88,2,27.725841,85.334842
The Loft Baluwatar,4.6,33,2,27.722141,85.331541
Elite Coffee Baluwatar,4.5,41,2,27.723141,85.332814
Baluwatar Junction Cafe,4.1,22,2,27.722514,85.331241
The Daily Grind Baluwatar,4.4,37,2,27.722914,85.331914
Bishalnagar Espresso Bar,4.3,15,2,27.725541,85.334214
Prime Minister Quarter Side Cafe,4.2,12,2,27.724214,85.333142
Baluwatar Heights Coffee,4.5,24,2,27.723514,85.332514
Organic Hub Baluwatar,4.6,18,2,27.722141,85.330942
Baluwatar Heritage Coffee,4.4,31,2,27.721841,85.331541
The Roastery Baluwatar,4.7,55,2,27.722541,85.331214
Bishalnagar Fresh Brew,4.1,26,2,27.725214,85.334514
Gairidhara Coffee Hub,4.3,115,2,27.718841,85.328142
The Village Cafe Gairidhara,4.5,412,2,27.719142,85.328841
Piano Piano Baluwatar,4.6,325,3,27.723142,85.330514
T's Your Palate Baluwatar,4.4,198,2,27.722412,85.331942
Nina's Baluwatar,4.5,650,2,27.721842,85.332814
Gairidhara Garden Brew,4.2,88,2,27.718542,85.327541
Baluwatar Central Espresso,4.3,45,2,27.722141,85.331842
Bishalnagar Heights Cafe,4.4,21,2,27.726142,85.335142
Tushal Coffee Point,3.9,56,1,27.728142,85.336142
The Morning Cup Baluwatar,4.2,14,2,27.723514,85.332814
Coffee Culture Baluwatar,4.5,102,2,27.722841,85.331514
Baluwatar Terrace Cafe,4.3,33,2,27.721542,85.330942
Gairidhara Junction Brew,4.1,28,2,27.719414,85.328214
